Station,Train Operating Companies / Lines,Postcode,Cardinal Direction,Region,Closest Major City,Landmark 1,Landmark 2,Landmark 3
Muir of Ord,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Beauly,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dingwall,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Invergordon,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Fearn,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Tain,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Kyle of Lochalsh,ScotRail,IV40 8AQ,North,Scotland,Edinburgh,Eilean Donan Castle (12km),Skye Bridge,None
Duirinish,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Plockton,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Duncraig,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Stromeferry,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Attadale,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Strathcarron,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Achanalt,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Achnasheen,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Achnashellach,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Luib Summit,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glencarron Platform,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Garve,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Lochluichart,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Aviemore,"ScotRail,LNER,Caledonian Sleeper",PH22 1PD,North,Scotland,Edinburgh,None,None,None
Pitlochry,"ScotRail,Caledonian Sleeper",PH16 5AN,North,Scotland,Edinburgh,Pitlochry Festival Theatre,None,None
Blair Atholl,"ScotRail,Caledonian Sleeper",PH18 5SG,North,Scotland,Edinburgh,Blair Castle,None,None
Dalwhinnie,"ScotRail,Caledonian Sleeper",PH19 1AB,North,Scotland,Edinburgh,Dalwhinnie Distillery,None,None
Newtonmore,"ScotRail,Caledonian Sleeper",Unknown,North,Scotland,Glasgow,None,None,None
Kingussie,"ScotRail,Caledonian Sleeper",PH21 1HH,North,Scotland,Edinburgh,None,None,None
Carrbridge,"ScotRail,Caledonian Sleeper",PH23 3AT,North,Scotland,Edinburgh,Packhorse Bridge Carrbridge,None,None
Culloden Moor,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Elgin,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Forres,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Nairn,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Insch,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Inverurie,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Dyce,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Stonehaven,ScotRail,AB39 2DT,North,Scotland,Edinburgh,Dunnottar Castle (2km),None,None
Portlethen,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Montrose,"ScotRail,LNER",DD10 8TH,North,Scotland,Edinburgh,None,None,None
Arbroath,"ScotRail,LNER",DD11 1AE,North,Scotland,Edinburgh,Arbroath Abbey (Declaration of Arbroath),None,None
Carnoustie,"ScotRail,LNER",Unknown,North,Scotland,Edinburgh,None,None,None
Balmossie,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Monifieth,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Barry Links,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Golf Street,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Broughty Ferry,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Leuchars,"ScotRail,LNER",KY16 0AH,North,Scotland,Edinburgh,None,None,None
Cupar,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Springfield,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Ladybank,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Markinch,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Glenrothes with Thornton,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Kirkcaldy,ScotRail,KY1 1LH,North,Scotland,Edinburgh,Kirkcaldy Museum & Art Gallery,None,None
Kinghorn,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Burntisland,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Aberdour,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Dalgety Bay,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Inverkeithing,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
North Queensferry,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Dalmeny,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Edinburgh Park,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Musselburgh,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Wallyford,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Prestonpans,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Longniddry,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
Drem,ScotRail,Unknown,North,Scotland,Edinburgh,None,None,None
North Berwick,ScotRail,EH39 4HH,North,Scotland,Edinburgh,Scottish Seabird Centre,Bass Rock (visible),None
Dunbar,"ScotRail,LNER",EH42 1AX,North,Scotland,Edinburgh,Dunbar Castle ruins,John Muir's Birthplace,None
Glasgow Pollokshaws West,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glasgow Pollokshaws East,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Shawlands,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Maxwell Park,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Pollokshields West,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Paisley Canal,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Hawkhead,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Paisley Gilmour Street,ScotRail,PA1 1DL,North,Scotland,Glasgow,Paisley Abbey,None,None
Paisley St James,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Porterfield,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Johnstone,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Milliken Park,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Howwood,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Lochwinnoch,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Glengarnock,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Dalry,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Saltcoats,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Stevenson,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Irvine,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Troon,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Prestwick International Airport,ScotRail,KA9 2PL,North,Scotland,Glasgow,None,None,None
Prestwick Town,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Newton-on-Ayr,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Ayr,ScotRail,KA7 1HB,North,Scotland,Glasgow,Burns Cottage (3km Alloway),Low Green Bandstand,None
Maybole,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Girvan,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Barrhill,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Stranraer,ScotRail,DG9 8BS,North,Scotland,Glasgow,Stranraer Castle,None,None
Ardrossan Harbour,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Ardrossan South Beach,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Ardrossan Town,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
West Kilbride,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Fairlie,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Largs,ScotRail,KA30 8AG,North,Scotland,Glasgow,Pencil Monument (Battle of Largs),None,None
Wemyss Bay,ScotRail,PA18 6AH,North,Scotland,Glasgow,None,None,None
Inverkip,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Gourock,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Langbank,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Port Glasgow,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Bogston,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Cartsdyke,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Greenock Central,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Greenock West,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Drumfrochar,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
Branchton,ScotRail,Unknown,North,Scotland,Glasgow,None,None,None
St Albans City,Thameslink,AL1 3SA,South,East of England,London,St Albans Cathedral,Roman Verulamium Museum,None
Harpenden,Thameslink,Unknown,South,South East,London,None,None,None
Luton Airport Parkway,"Thameslink,East Midlands Railway",LU2 9LP,South,East of England,London,None,None,None
Luton,"Thameslink,East Midlands Railway",LU1 2PB,South,East of England,London,None,None,None
Leagrave,Thameslink,Unknown,South,South East,London,None,None,None
Flitwick,Thameslink,Unknown,South,South East,London,None,None,None
Bedford,"Thameslink,East Midlands Railway",MK40 2AA,Central,East of England,London,Bedford Castle Mound,Bunyan Museum,None
Bedford St Johns,Thameslink,Unknown,South,South East,London,None,None,None
Elstow,Thameslink,Unknown,South,South East,London,None,None,None
Kempston Hardwick,Thameslink,Unknown,South,South East,London,None,None,None
Stewartby,Thameslink,Unknown,South,South East,London,None,None,None
Millbrook (Bedfordshire),Thameslink,Unknown,South,South East,London,None,None,None
Fenny Stratford,London Northwestern Railway,Unknown,South,London,London,None,None,None
Bletchley,"London Northwestern Railway,Chiltern Railways",MK2 2BX,Central,South East,London,Bletchley Park,None,None
Milton Keynes Central,"Avanti West Coast,London Northwestern Railway",MK9 1AY,Central,South East,London,Milton Keynes Rose,None,None
Wolverton,London Northwestern Railway,MK12 5DQ,Central,South East,London,None,None,None
Northampton,"Avanti West Coast,London Northwestern Railway",NN1 2BH,Central,East Midlands,London,Northampton Museum & Art Gallery,All Saints' Church,None
Long Buckby,Avanti West Coast,NN6 7QA,Central,East Midlands,London,None,None,None
Rugby,"Avanti West Coast,CrossCountry,London Northwestern Railway",CV21 3HW,Central,West Midlands,London,Rugby School,Rugby Art Gallery & Museum,None
Tring,London Northwestern Railway,HP23 4BZ,South,East of England,London,None,None,None
Berkhamsted,London Northwestern Railway,HP4 1HA,South,East of England,London,Berkhamsted Castle,None,None
Hemel Hempstead,London Northwestern Railway,HP1 1AB,South,East of England,London,None,None,None
Apsley,London Northwestern Railway,Unknown,South,London,London,None,None,None
Kings Langley,London Northwestern Railway,Unknown,South,London,London,None,None,None
Watford Junction,"London Northwestern Railway,West Midlands Railway",WD17 1AB,South,East of England,London,None,None,None
Watford High Street,London Overground,Unknown,Central,East of England,London,None,None,None
Bushey,London Northwestern Railway,Unknown,South,London,London,None,None,None
Carpenders Park,London Northwestern Railway,Unknown,South,London,London,None,None,None
Hatch End,London Northwestern Railway,Unknown,South,London,London,None,None,None
Headstone Lane,London Northwestern Railway,Unknown,South,London,London,None,None,None
Harrow & Wealdstone,London Northwestern Railway,HA3 5BP,South,London,London,None,None,None
Kenton,London Northwestern Railway,Unknown,South,London,London,None,None,None
South Kenton,London Northwestern Railway,Unknown,South,London,London,None,None,None
North Wembley,London Northwestern Railway,Unknown,South,London,London,None,None,None
Wembley Central,London Northwestern Railway,HA9 7BJ,South,London,London,Wembley Stadium,SSE Arena Wembley,None
Stonebridge Park,London Northwestern Railway,Unknown,South,London,London,None,None,None
Harlesden,London Northwestern Railway,Unknown,South,London,London,None,None,None
Willesden Junction,"London Northwestern Railway,London Overground",NW10 4RA,South,London,London,None,None,None
Kensal Green,London Northwestern Railway,Unknown,South,London,London,None,None,None
Hatfield,"Thameslink,Great Northern",AL10 9ET,South,East of England,London,Hatfield House,None,None
Welwyn Garden City,"Thameslink,Great Northern",AL7 1QZ,South,East of England,London,None,None,None
Welwyn North,"Thameslink,Great Northern",Unknown,East,East of England,London,None,None,None
Knebworth,"Thameslink,Great Northern",Unknown,East,East of England,London,None,None,None
Potters Bar,"Thameslink,Great Northern",Unknown,South,South East,London,None,None,None
Welham Green,Great Northern,Unknown,South,East of England,London,None,None,None
Brookmans Park,Great Northern,Unknown,South,East of England,London,None,None,None
Crews Hill,Great Northern,Unknown,South,East of England,London,None,None,None
Cuffley,Great Northern,Unknown,South,East of England,London,None,None,None
Bayford,Great Northern,Unknown,South,East of England,London,None,None,None
Hertford North,Great Northern,Unknown,East,East of England,London,None,None,None
Watton-at-Stone,Great Northern,Unknown,East,East of England,London,None,None,None
Stapleford,Great Northern,Unknown,South,East of England,London,None,None,None
Enfield Chase,Great Northern,Unknown,South,East of England,London,None,None,None
Gordon Hill,Great Northern,Unknown,South,East of England,London,None,None,None
Grange Park,Great Northern,Unknown,South,East of England,London,None,None,None
Winchmore Hill,Great Northern,Unknown,South,East of England,London,None,None,None
Palmers Green,Great Northern,Unknown,South,East of England,London,None,None,None
Bowes Park,Great Northern,Unknown,South,East of England,London,None,None,None
Bounds Green,Great Northern,Unknown,South,East of England,London,None,None,None
Alexandra Palace,Great Northern,N22 7ST,South,London,London,Alexandra Palace,None,None
Hornsey,Great Northern,Unknown,South,East of England,London,None,None,None
Harringay,Great Northern,Unknown,South,East of England,London,None,None,None
Finsbury Park,"Thameslink,Great Northern",N4 2DL,South,London,London,None,None,None
Hadley Wood,Great Northern,Unknown,South,East of England,London,None,None,None
New Barnet,Great Northern,Unknown,South,East of England,London,None,None,None
Oakleigh Park,Great Northern,Unknown,South,East of England,Manchester,None,None,None
New Southgate,Great Northern,Unknown,South,East of England,London,None,None,None
Tilbury Town,c2c,RM18 8YN,East,East of England,London,Tilbury Fort,None,None
Grays,c2c,RM17 6HQ,East,East of England,London,Thurrock Museum,None,None
Chafford Hundred,c2c,Unknown,East,East of England,London,None,None,None
Ockendon,c2c,Unknown,East,East of England,London,None,None,None
Upminster,"c2c,Elizabeth line",Unknown,East,East of England,London,None,None,None
Hornchurch,c2c,Unknown,East,East of England,London,None,None,None
Elm Park,c2c,Unknown,East,East of England,London,None,None,None
Dagenham East,c2c,Unknown,East,East of England,London,None,None,None
Dagenham Heathrow,c2c,Unknown,East,East of England,London,None,None,None
Rainham (Essex),c2c,Unknown,East,East of England,London,None,None,None
Purfleet,c2c,Unknown,East,East of England,London,None,None,None
Stanford-le-Hope,c2c,Unknown,East,East of England,London,None,None,None
East Tilbury,c2c,Unknown,East,East of England,Manchester,None,None,None
Pitsea,c2c,Unknown,East,East of England,London,None,None,None
Basildon,c2c,SS14 1DW,East,East of England,London,None,None,None
Laindon,c2c,Unknown,East,East of England,London,None,None,None
Benfleet,c2c,Unknown,East,East of England,London,None,None,None
Leigh-on-Sea,c2c,Unknown,East,East of England,Manchester,None,None,None
Chalkwell,c2c,Unknown,East,East of England,London,None,None,None
Westcliff,c2c,Unknown,East,East of England,London,None,None,None
Southend Central,"c2c,Greater Anglia",SS1 1YS,East,East of England,London,Southend Pier (world's longest),Adventure Island,None
Southend East,c2c,SS1 2TR,East,East of England,London,Southend Pier,None,None
Thorpe Bay,c2c,Unknown,East,East of England,London,None,None,None
Shoeburyness,c2c,SS3 9DS,East,East of England,London,None,None,None
West Horndon,c2c,Unknown,East,East of England,London,None,None,None
Bulphan,c2c,Unknown,East,East of England,London,None,None,None
Upminster Bridge,c2c,Unknown,East,East of England,London,None,None,None
Skipton,"Northern,TransPennine Express",BD23 1JH,North,Yorkshire and the Humber,Manchester,Skipton Castle,None,None
Keighley,"Northern,TransPennine Express",Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Bingley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Shipley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Saltaire,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Frizinghall,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Apperley Bridge,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Kirkstall Forge,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Horsforth,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Headingley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Burley Park,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Ilkley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Ben Rhydding,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Burley-in-Wharfedale,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Menston,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Guiseley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Otley,Northern,Unknown,Central,London,London,None,None,None
Grange,Northern,Unknown,Central,London,London,None,None,None
Crossgates,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Killingbeck,Northern,Unknown,Central,London,London,None,None,None
Woodlesford,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Altofts & Whitwood,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Knottingley,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Hensall,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Snaith,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Rawcliffe,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Goole,"Northern,TransPennine Express",DN14 5AE,North,Yorkshire and the Humber,Manchester,None,None,None
Broomfleet,Northern,Unknown,Central,London,London,None,None,None
Cleethorpes,"Northern,TransPennine Express",DN35 8AX,East,Yorkshire and the Humber,Manchester,Cleethorpes Pier,None,None
New Clee,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Grimsby Docks,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Grimsby Town,Northern,DN31 1LJ,East,Yorkshire and the Humber,Manchester,None,None,None
Great Coates,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Healing,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Stallingborough,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Habrough,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Ulceby,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Thornton Abbey,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Barnetby,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Brigg,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Kirton Lindsey,Northern,Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Gainsborough Lea Road,"Northern,East Midlands Railway",Unknown,North,Yorkshire and the Humber,Manchester,None,None,None
Retford,"LNER,Northern,East Midlands Railway",DN22 6AT,North,Yorkshire and the Humber,Manchester,None,None,None
Newark North Gate,LNER,NG24 1AU,East,East Midlands,London,Newark Castle,None,None
Newark Castle,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Grantham,"LNER,East Midlands Railway",NG31 6HX,East,East Midlands,London,None,None,None
Sleaford,"East Midlands Railway,Northern",Unknown,Central,East Midlands,London,None,None,None
Spalding,East Midlands Railway,PE11 1UJ,East,East Midlands,London,None,None,None
Boston,East Midlands Railway,PE21 6PT,East,East Midlands,London,St Botolph's Church (The Stump),None,None
Skegness,"East Midlands Railway,Northern",PE25 3NX,East,East Midlands,London,Skegness Pier,None,None
Lincoln Central,"East Midlands Railway,Northern,TransPennine Express",LN5 7EP,East,East Midlands,Manchester,Lincoln Cathedral,Lincoln Castle,Bailgate
Lincoln St Marks,East Midlands Railway,Unknown,East,East Midlands,London,None,None,None
Hykeham,East Midlands Railway,Unknown,East,East Midlands,London,None,None,None
Swinderby,East Midlands Railway,Unknown,East,East Midlands,London,None,None,None
Collingham,East Midlands Railway,Unknown,East,East Midlands,London,None,None,None
Fiskerton,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Rolleston,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Southwell,East Midlands Railway,Unknown,East,East Midlands,London,None,None,None
Bleasby,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Thurgarton,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Lowdham,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Burton Joyce,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Carlton,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Mansfield,East Midlands Railway,NG18 1RD,Central,East Midlands,London,None,None,None
Mansfield Woodhouse,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Shirebrook,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Langwith-Whaley Thorns,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Creswell,East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Whitwell (Derbyshire),East Midlands Railway,Unknown,Central,East Midlands,London,None,None,None
Worksop,"Northern,East Midlands Railway",S80 1HL,North,Yorkshire and the Humber,Manchester,Priory Church Worksop,None,None
Shireoaks,Northern,Unknown,Central,East Midlands,London,None,None,None
Kiveton Bridge,Northern,Unknown,Central,East Midlands,London,None,None,None
Kiveton Park,Northern,Unknown,Central,East Midlands,London,None,None,None
Wales,Northern,Unknown,Central,East Midlands,London,None,None,None
Woodhouse,Northern,Unknown,Central,East Midlands,London,None,None,None
Dronfield,Northern,Unknown,Central,East Midlands,London,None,None,None
Apperknowle,Northern,Unknown,Central,London,London,None,None,None
Millhouses,Northern,Unknown,Central,London,London,None,None,None
Ecclesall,Northern,Unknown,Central,London,Manchester,None,None,None
Gleadless Townend,Northern,Unknown,Central,London,London,None,None,None
Epsom Downs,Southern,KT18 5JB,South,South East,London,Epsom Racecourse,None,None
Banstead,Southern,Unknown,South,South East,London,None,None,None
Belmont (Surrey),Southern,Unknown,South,South East,London,None,None,None
Sutton (Surrey),"Southern,Thameslink",SM1 1AD,South,London,London,None,None,None
Carshalton,"Southern,Thameslink",Unknown,South,South East,London,None,None,None
Hackbridge,"Southern,Thameslink",Unknown,South,South East,London,None,None,None
Mitcham Eastfields,Thameslink,Unknown,South,South East,London,None,None,None
Mitcham Junction,Thameslink,Unknown,South,South East,London,None,None,None
Morden South,Thameslink,Unknown,South,South East,London,None,None,None
St Helier,"Southern,Thameslink",Unknown,South,South East,London,None,None,None
Stonecot Hill,Southern,Unknown,South,South East,London,None,None,None
Cheam,Southern,Unknown,South,South East,London,None,None,None
Ewell East,Southern,Unknown,South,South East,London,None,None,None
Ewell West,South Western Railway,Unknown,South,South East,London,None,None,None
Worcester Park,South Western Railway,Unknown,South,South East,London,None,None,None
Tolworth,South Western Railway,Unknown,South,South East,London,None,None,None
Chessington South,South Western Railway,Unknown,South,South East,London,None,None,None
Chessington North,South Western Railway,Unknown,South,South East,London,None,None,None
Malden Manor,South Western Railway,Unknown,South,South East,London,None,None,None
New Malden,South Western Railway,Unknown,South,South East,London,None,None,None
Raynes Park,South Western Railway,Unknown,South,South East,London,None,None,None
Motspur Park,South Western Railway,Unknown,South,South East,London,None,None,None
Berrylands,South Western Railway,Unknown,South,South East,London,None,None,None
Norbiton,South Western Railway,Unknown,South,South East,London,None,None,None
Hampton Court,South Western Railway,KT8 9BY,South,London,London,Hampton Court Palace,Hampton Court Maze,None
Thames Ditton,South Western Railway,Unknown,South,South East,London,None,None,None
Esher,South Western Railway,Unknown,South,South East,London,None,None,None
Hinchley Wood,South Western Railway,Unknown,South,South East,London,None,None,None
Claygate,South Western Railway,Unknown,South,South East,London,None,None,None
Oxshott,South Western Railway,Unknown,South,South East,London,None,None,None
Ashtead,Southern,Unknown,South,South East,London,None,None,None
Bookham,Southern,Unknown,South,South East,London,None,None,None
Effingham Junction,Southern,Unknown,South,South East,London,None,None,None
Gomshall,Great Western Railway,Unknown,South,South West,London,None,None,None
Chilworth,Great Western Railway,Unknown,South,South West,London,None,None,None
Shalford,Great Western Railway,Unknown,South,South West,London,None,None,None
Albury,Great Western Railway,Unknown,South,South West,Manchester,None,None,None
Farncombe,South Western Railway,Unknown,South,South East,London,None,None,None
Godalming,South Western Railway,Unknown,South,South East,London,None,None,None
Milford (Surrey),South Western Railway,Unknown,South,South East,Swansea,None,None,None
Witley,South Western Railway,Unknown,South,South East,London,None,None,None
Haslemere,South Western Railway,Unknown,South,South East,London,None,None,None
Liphook,South Western Railway,Unknown,South,South East,London,None,None,None
Liss,South Western Railway,Unknown,South,South East,London,None,None,None
Petersfield,South Western Railway,Unknown,South,South East,London,None,None,None
Rowlands Castle,South Western Railway,Unknown,South,South East,London,None,None,None
Emsworth,Southern,Unknown,South,South East,London,None,None,None
Nutbourne,Southern,Unknown,South,South East,London,None,None,None
Bosham,Southern,Unknown,South,South East,London,None,None,None
Fishbourne (Sussex),Southern,Unknown,South,South East,London,None,None,None
Cardiff Central,"Transport for Wales,Great Western Railway,CrossCountry",CF10 1GZ,South,Wales,Cardiff,Cardiff Castle,Principality Stadium,National Museum Cardiff
Cardiff Queen Street,Transport for Wales,CF24 0EQ,South,Wales,Cardiff,Roath Park (nearby),None,None
Newport,"Transport for Wales,Great Western Railway,CrossCountry",NP20 1AB,South,Wales,Cardiff,Newport Transporter Bridge,Newport Cathedral,None
Bridgend,"Transport for Wales,Great Western Railway",CF31 1SY,South,Wales,Cardiff,Coity Castle (2km),None,None
Port Talbot Parkway,"Transport for Wales,Great Western Railway",SA13 1SP,South,Wales,Swansea,None,None,None
Neath,"Transport for Wales,Great Western Railway",SA11 1JH,South,Wales,Swansea,Neath Abbey ruins,Neath Castle,None
Swansea,"Transport for Wales,Great Western Railway",SA1 1NX,South,Wales,Swansea,Swansea Marina,Dylan Thomas Centre,National Waterfront Museum
Llandrindod,Transport for Wales,LD1 6AA,West,Wales,Cardiff,None,None,None
Builth Road,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cilmeri,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Garth (Powys),Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Sugar Loaf,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cynghordy,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llandovery,Transport for Wales,Unknown,South,Wales,Swansea,None,None,None
Llanwrtyd,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Llangammarch,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Merthyr Tydfil,Transport for Wales,CF47 8AB,South,Wales,Cardiff,Cyfarthfa Castle,None,None
Merthyr Vale,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Troedyrhiw,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Pentrebach,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Abercynon,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Mountain Ash,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Fernhill,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Cwmbach,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
Aberdare,Transport for Wales,Unknown,South,Wales,Cardiff,None,None,None
